"id","activity","description","longitude","latitude"
1,"Inactive","M4/2295A2 Westbound",-0.520379557723297,51.4930115367112
2,"Active","A1M/2259B Southbound",-0.320275451712423,52.5351577963853
3,"Active","M5/7482B Northbound",-2.17513825916014,52.1756517888158
4,"Active","M3/2173A Westbound",-1.39237366736779,50.9603586282494
5,"Active","M25/5764B Anti-clockwise",0.283161593410359,51.5756168053165
6,"Inactive","M27/9273A Eastbound",-1.31148605150526,50.8974291626176
7,"Active","A1M/9869K Northbound",-1.3988308536688,54.0819152173294
8,"Active","M25/4876A Clockwise",-0.538795788123459,51.4337486439773
9,"Inactive","M60/9164M Anti-clockwise",-2.35531413616728,53.4642620986179
10,"Inactive","M62/1686A Eastbound",-2.10625799296015,53.6036856809869
11,"Inactive","M27/9387A Eastbound",-1.16685001065065,50.8626033711616
12,"Inactive","M6/6760B Southbound",-2.3830476202693,53.1933013796252
13,"Active","M62/2328B Westbound",-1.28311525912878,53.7084340056232
14,"Active","A2/8392M Westbound",0.381381297925497,51.4084657748977
15,"Active","M6/6988B Southbound",-2.50981634724319,53.3640990933116
16,"Inactive","M2/8460A Eastbound",0.465564013705534,51.3865701489037
17,"Active","M1/2413B Southbound",-0.410736660991787,51.785325687602
18,"Active","M62/2099A Eastbound",-1.60804240457756,53.7317663847111
19,"Active","M1/4890A Northbound",-1.53434206597794,53.6426379215492
20,"Active","M3/2039B Eastbound",-1.29352219641903,51.0600518502267
21,"Active","M1/4846A Northbound",-1.55211479870336,53.605539135161
22,"Inactive","A14/1908A Eastbound",1.12471266263044,52.0277371244491
23,"Active","M3/2165M Westbound",-1.38355582981386,50.9649525543084
24,"Active","M4/3479A Westbound",-2.04923708882077,51.5206446979317
25,"Active","M25/5135B Anti-clockwise",-0.493692290379283,51.6647732889977
26,"Active","M5/7138M Northbound",-2.01363460823604,52.4516310473519
27,"Inactive","M1/2771A Northbound",-0.659507454818221,52.0441804328676
28,"Active","M25/4490B Anti-clockwise",-0.166749727292999,51.2686294730048
29,"Active","M6/5838B Southbound",-1.86637710036871,52.5130297842231
30,"Active","M2/8528A Eastbound",0.511519341891257,51.3335833253599
31,"Active","M1/5163J Northbound",-1.36575523550041,53.8063305024294
32,"Active","A1M/9468J Northbound",-0.206184200504546,51.8863748193294
33,"Active","M54/3154A Westbound",-2.12131616559626,52.6381367762977
34,"Active","M56/8150A Westbound",-2.30747451952892,53.3578532696194
35,"Active","M25/4101L Anti-clockwise",0.227108726206905,51.4175706095531
36,"Active","M1/3949L Southbound",-1.30023354171539,52.9276908637872
37,"Inactive","M1/4623A Northbound",-1.42036145363544,53.430624952497
38,"Active","M6/7412B Southbound",-2.67744593093838,53.6949784923759
39,"Active","M25/4116A Clockwise",0.212408128616889,51.4068231439933
40,"Active","M25/5165M Anti-clockwise",-0.453859069937714,51.6795610507823
41,"Active","M6/5962B Southbound",-2.00903974156997,52.5688155752209
42,"Active","M1/2717J Northbound",-0.588671777393511,52.0228078207321
43,"Active","M1/5157B Southbound",-1.37541680718986,53.8060755334036
44,"Active","M1/2607J Northbound",-0.501403815441771,51.9457870173472
45,"Active","MIDAS Site at M20/6568B1 Westbound",0.516700017015146,51.2989540853619
46,"Active","M25/4465A Clockwise",-0.132304637948176,51.2643166814966
47,"Active","M621/1133A Eastbound",-1.51372269250672,53.7573258693331
48,"Active","M42/6168A Northbound",-1.98414915489083,52.3557157781717
49,"Active","M1/4085B Southbound",-1.24947586930138,53.0345252401088
50,"Inactive","M5/9061A Southbound",-3.05845535173993,51.0223653198881
51,"Inactive","M4/2718B Eastbound",-1.05001089549856,51.4319210145245
52,"Inactive","M6/6199A Northbound",-2.10963652517659,52.7649197939255
53,"Inactive","M1/3911A Northbound",-1.30050439825804,52.8932716695729
54,"Active","M2/8818M Westbound",0.890554784159312,51.300008224268
55,"Inactive","M6/6827A Northbound",-2.40209347687792,53.2516390727385
56,"Active","A2/8402A Eastbound",0.394262600443268,51.4059280094946
57,"Inactive","M25/4322B Anti-clockwise",0.063815575561992,51.2732442603408
58,"Active","M5/7242B Northbound",-2.0572298399486,52.3700765563849
59,"Active","A1M/9922B Southbound",-1.41531351729951,54.1272574607441
60,"Active","M1/3702B Southbound",-1.28945574211469,52.7140329405801
61,"Active","M4/3549A Westbound",-2.14862738076441,51.511613746296
62,"Inactive","M1/3130A Northbound",-1.05986463779637,52.2456395620733
63,"Active","M4/3507A Westbound",-2.08792352225887,51.514309957611
64,"Inactive","M62/1324A Eastbound",-2.51438656199428,53.4340026856307
65,"Active","M11/6904A Northbound",0.07199789011987,52.2294340480105
66,"Active","M1/3563B Southbound",-1.19967870958693,52.6110568267452
67,"Active","M1/3776A Northbound",-1.28067137873216,52.7792908506016
68,"Active","MIDAS Site at M20/6568A1 Eastbound",0.516361527817416,51.2990602918532
69,"Active","M1/2623B Southbound",-0.515061150712143,51.956956888434
70,"Active","M6/6998A Northbound",-2.50791789128287,53.3737612466491
71,"Inactive","M1/2926A Northbound",-0.829220735020941,52.135208267394
72,"Active","M4/3332L Eastbound",-1.85812655515843,51.5470238397031
73,"Active","M25/5235K Clockwise",-0.373941587890524,51.7158794591327
74,"Active","M1/4065B Southbound",-1.24389459422563,53.0168438863603
75,"Active","M25/4447B Anti-clockwise",-0.108097854120412,51.2593320812814
76,"Inactive","M4/2502A Westbound",-0.77511595906634,51.4672467236443
77,"Active","M1/4846L Southbound",-1.55147913379074,53.6056266464746
78,"Active","A2/8420A Eastbound",0.420665735650981,51.401077667589
79,"Active","A1M/9470A Northbound",-0.206402323058378,51.8874661652699
80,"Active","M25/4409B Anti-clockwise",-0.053937862271571,51.2582460746526
81,"Active","M6/7313B Southbound",-2.68863437858823,53.6073952004655
82,"Active","M62/2324A Eastbound",-1.28884504984965,53.7109578839438
83,"Active","M6/7096B Southbound",-2.58566816043069,53.4413595557882
84,"Active","M40/9061K Northbound",-1.20485835708065,51.947054713298
85,"Active","M56/8114J Westbound",-2.27699892832543,53.3824218923632
86,"Active","M1/3966A Northbound",-1.28544465160147,52.9395949413968
87,"Active","M1/4017B Southbound",-1.24968594385032,52.9794139703691
88,"Active","A14/2060J Eastbound",1.31654142435839,51.9927623053437
89,"Inactive","M6/6772K Northbound",-2.38817178440203,53.2021927089163
90,"Active","M4/3869B Eastbound",-2.55341652947819,51.5527877134557
91,"Active","M40/8789A Northbound",-1.09464653191839,51.7392774926581
92,"Active","M3/2161B Eastbound",-1.38019665524034,50.9680462028602
93,"Active","A1M/9541A Northbound",-1.34189279281093,53.8154869806696
94,"Active","M25/4090K Clockwise",0.2375293155224,51.4241976817727
95,"Active","A1M/2228B Southbound",-0.295709619220688,52.5119428099963
96,"Active","A1M/9379B Southbound",-1.27348778862802,53.6920534408536
97,"Active","M25/4358A Clockwise",0.01357216902312,51.2675362903577
98,"Active","M4/3434A Westbound",-1.99120709144118,51.537712146872
99,"Active","M1/2501A Northbound",-0.433247673382439,51.8623826551344
100,"Active","M60/9462B Anti-clockwise",-2.11907034674187,53.4789693723244
101,"Active","M5/8291A Southbound",-2.53279203259531,51.5627381612544
102,"Active","A1M/9897A Northbound",-1.41476954180917,54.1050197824865
103,"Active","M5/7995A Southbound",-2.30657017844141,51.7805116883516
104,"Active","M25/4087B Anti-clockwise",0.238597016273229,51.4269111202944
105,"Active","M42/6536B Southbound",-1.72297868553533,52.5424493178862
106,"Active","M25/4919A Clockwise",-0.508905037305114,51.467633543573
107,"Inactive","M11/6349A Northbound",0.160947832356396,51.7731301938751
108,"Inactive","M1/3554B Southbound",-1.19552125249574,52.6033870930435
109,"Active","M2/8534A Eastbound",0.516358405675755,51.3291445048432
110,"Active","M4/2188B Eastbound",-0.369826643551931,51.4898454617231
111,"Inactive","M1/3916A Northbound",-1.29871011353994,52.8976210156665
112,"Inactive","M6/7200B Southbound",-2.68123333060533,53.5117267154183
113,"Active","M4/3689A Westbound",-2.34289978253983,51.5016385595349
114,"Inactive","M1/3844A Northbound",-1.29687438028578,52.8364364574098
115,"Active","A1M/9513A Northbound",-1.560786107074,54.8802681834031
116,"Active","M25/5295J Clockwise",-0.281309157518345,51.7158743457545
117,"Inactive","M4/2646A Westbound",-0.954985193468347,51.4128586723485
118,"Inactive","M60/9200B Anti-clockwise",-2.37780138324264,53.4896216973523
119,"Active","M1/4037B Southbound",-1.23190329827427,52.9936921282007
120,"Inactive","M1/3920A Northbound",-1.29880098881557,52.901208360064
121,"Inactive","M4/2302B Eastbound",-0.530439284966493,51.4933088738952
122,"Active","M62/1758A Eastbound",-2.01594440065455,53.6301380076137
123,"Active","M1/3789B Southbound",-1.28860407477238,52.7901352574151
124,"Active","M25/5316B Anti-clockwise",-0.252983829772872,51.7056183216442
125,"Inactive","M1/4647A Northbound",-1.44283749198875,53.4463628432432
126,"Inactive","M20/6502L Westbound",0.427301099069061,51.3080280687437
127,"Active","M1/3714B Southbound",-1.28229217689948,52.724795635042
128,"Inactive","M42/6602B Southbound",-1.65994741186594,52.5859414566433
129,"Active","M6/7536A Northbound",-2.66734107099392,53.7922687423795
130,"Inactive","M1/4662B Southbound",-1.44671547561399,53.4596752783534
131,"Inactive","M42/6598A Northbound",-1.66448032227882,52.5837787432225
132,"Inactive","M42/6694B Southbound",-1.58633478756029,52.6540835299817
133,"Active","M42/6277A Northbound",-1.83064033043801,52.3480710350191
134,"Active","M60/9492A Clockwise",-2.1360583677519,53.4576935244612
135,"Active","M4/2979B Eastbound",-1.39672960093627,51.4510296413867
136,"Inactive","M4/2368A Westbound",-0.612093069827066,51.5021717889616
137,"Active","M4/3188A Westbound",-1.66063282508525,51.5190777077866
138,"Active","M25/4546A Clockwise",-0.240337912305665,51.2639936126598
139,"Active","M42/6504B Southbound",-1.72543431237928,52.5151881598434
140,"Active","M18/7641A Northbound",-1.15636356825352,53.4758318036165
141,"Active","M5/7050A Southbound",-1.97544654920905,52.5114578087907
142,"Inactive","M6/6689A Northbound",-2.33622987039818,53.1358238823146
143,"Inactive","M62/1612A Eastbound",-2.20490264677245,53.5773651156279
144,"Active","M25/4681A Clockwise",-0.395159816936683,51.3062892566012
145,"Active","M1/4841J Northbound",-1.55004775990399,53.6009473966222
146,"Active","M27/9160J Eastbound",-1.40890127970687,50.9595442229314
147,"Inactive","A38/4508B Southbound",-1.45669925663961,52.9608791899443
148,"Active","M1/4503B Southbound",-1.27799250918992,53.3837023342715
149,"Inactive","M1/3211A Northbound",-1.12159198119005,52.3062083051194
150,"Active","M25/5015A Clockwise",-0.524120572989834,51.5510760788832
151,"Inactive","M1/2840B Southbound",-0.741690013729999,52.0794322666846
152,"Active","M5/7970B Northbound",-2.28654123759167,51.7994348163404
153,"Active","A1M/9790A Northbound",-1.37982028374693,54.013871859381
154,"Active","A1M/9362B Southbound",-0.226058502767254,51.7963604052188
155,"Active","M25/4832J Clockwise",-0.535216065021046,51.3963228410662
156,"Inactive","M1/4592A Northbound",-1.3936557297314,53.4066810268822
157,"Active","M40/8509L Southbound",-0.773134129004326,51.6117802702978
158,"Active","M4/3293A Westbound",-1.80408963394933,51.5403371454078
159,"Active","M1/4158A Northbound",-1.3049300667832,53.0895895104071
160,"Active","M42/6289B Southbound",-1.81358511063377,52.3472722828008
161,"Active","M61/2347A Northbound",-2.64090429624218,53.7300266420828
162,"Active","M25/4463K Clockwise",-0.131897469676738,51.2637526090361
163,"Active","M4/3331B Eastbound",-1.85704686070463,51.5464200966305
164,"Inactive","A14/0070B Westbound",-1.07804136724102,52.3933268401305
165,"Active","A1M/9763B Southbound",-1.36310562522243,53.9901737523202
166,"Active","M1/4849B Southbound",-1.55223952000117,53.6080383358085
167,"Active","A1M/9411B Southbound",-1.28935416303615,53.7185380591633
168,"Inactive","M1/5079A Northbound",-1.46508798635694,53.7770632996564
169,"Active","M61/2347B Southbound",-2.64047992295822,53.7300289093975
170,"Active","A2/8369J Eastbound",0.353037508930245,51.4179593722875
171,"Active","M62/2179L Westbound",-1.4905985356828,53.727928598179
172,"Active","A1M/9887A Northbound",-1.40978085862367,54.0966010952248
173,"Active","M56/8284B Eastbound",-2.50179581957847,53.3529601272554
174,"Active","M27/9148A Eastbound",-1.42510058533902,50.9599038795125
175,"Active","M42/6482L Southbound",-1.71675229082771,52.4972416063519
176,"Active","M4/3296B Eastbound",-1.80837207606248,51.5403622096323
177,"Inactive","M6/6673A Northbound",-2.3353739474436,53.1218752843551
178,"Active","M1/3942A Northbound",-1.3002087353909,52.9218385427192
179,"Active","M4/3360B Eastbound",-1.89481909115621,51.5574207423981
180,"Active","M1/4053B Southbound",-1.23559313826897,53.0074691453984
181,"Active","M25/5271A Clockwise",-0.317518697914885,51.7119022451721
182,"Active","M42/6626A Northbound",-1.64086145008631,52.6040174541876
183,"Inactive","M1/4166B Southbound",-1.31168476796518,53.0957954694617
184,"Active","M1/5022B Southbound",-1.51563163459269,53.7443099119214
